id,latitude,longitude,country
1,42.030417,20.713277,AL
2,42.23028,19.624128,AL
3,42.628112,19.624128,AL
4,42.030417,19.468535,AL
5,42.429512,19.468535,AL
6,42.23028,19.312943,AL
7,40.408868,19.15735,AL
8,41.829925,19.312943,AL
9,41.42705,19.312943,AL
10,41.021659,19.312943,AL
11,40.613758,19.312943,AL
12,40.203352,19.312943,AL
13,41.628802,19.468535,AL
14,41.224669,19.468535,AL
15,40.818022,19.468535,AL
16,40.408868,19.468535,AL
17,41.829925,19.624128,AL
18,41.42705,19.624128,AL
19,41.021659,19.624128,AL
20,40.613758,19.624128,AL
21,40.203352,19.624128,AL
22,40.613758,19.935313,AL
23,40.818022,19.779721,AL
24,40.818022,20.090906,AL
25,41.021659,19.935313,AL
26,41.224669,19.779721,AL
27,41.224669,20.090906,AL
28,41.42705,19.935313,AL
29,41.628802,19.779721,AL
30,41.628802,20.090906,AL
31,41.829925,19.935313,AL
32,42.030417,20.090906,AL
33,42.030417,19.779721,AL
34,42.23028,19.935313,AL
35,42.429512,19.779721,AL
36,42.429512,20.090906,AL
37,42.628112,19.935313,AL
38,40.408868,19.779721,AL
39,40.408868,20.090906,AL
40,40.203352,19.935313,AL
41,39.997211,19.779721,AL
42,39.997211,20.090906,AL
43,39.790445,19.935313,AL
44,39.583057,20.090906,AL
45,40.613758,20.246499,AL
46,41.021659,20.246499,AL
47,41.42705,20.246499,AL
48,41.829925,20.246499,AL
49,42.23028,20.246499,AL
50,40.203352,20.246499,AL
51,39.790445,20.246499,AL
52,40.818022,20.402092,AL
53,41.224669,20.402092,AL
54,41.628802,20.402092,AL
55,42.030417,20.402092,AL
56,42.429512,20.402092,AL
57,40.408868,20.402092,AL
58,39.997211,20.402092,AL
59,39.790445,20.557684,AL
60,40.203352,20.557684,AL
61,40.613758,20.557684,AL
62,41.021659,20.557684,AL
63,41.42705,20.557684,AL
64,41.829925,20.557684,AL
65,42.23028,20.557684,AL
66,41.628802,20.713277,AL
67,41.224669,20.713277,AL
68,40.818022,20.713277,AL
69,40.408868,20.713277,AL
70,39.997211,20.713277,AL
71,41.021659,20.86887,AL
72,40.613758,20.86887,AL
73,40.203352,20.86887,AL
74,40.408868,21.024462,AL
75,40.613758,21.180055,AL
76,40.818022,21.024462,AL
77,49.180458,13.244827,CZ
78,49.53153,13.244827,CZ
79,49.880099,13.244827,CZ
80,50.226169,13.244827,CZ
81,50.569747,13.244827,CZ
82,50.740602,13.40042,CZ
83,50.398269,13.40042,CZ
84,50.053446,13.40042,CZ
85,49.706127,13.40042,CZ
86,49.356307,13.40042,CZ
87,49.003981,13.40042,CZ
88,50.226169,12.000086,CZ
89,50.398269,12.155679,CZ
90,50.053446,12.155679,CZ
91,49.706127,12.466864,CZ
92,50.053446,12.466864,CZ
93,50.398269,12.466864,CZ
94,50.398269,13.089235,CZ
95,50.053446,13.089235,CZ
96,49.706127,13.089235,CZ
97,49.356307,13.089235,CZ
98,49.880099,12.311271,CZ
99,50.226169,12.311271,CZ
100,49.180458,12.933642,CZ
101,49.356307,12.778049,CZ
102,49.53153,12.933642,CZ
103,49.53153,12.622457,CZ
104,49.706127,12.778049,CZ
105,49.880099,12.622457,CZ
106,49.880099,12.933642,CZ
107,50.053446,12.778049,CZ
108,50.226169,12.933642,CZ
109,50.226169,12.622457,CZ
110,50.398269,12.778049,CZ
111,50.569747,12.933642,CZ
112,50.569747,13.556013,CZ
113,50.226169,13.556013,CZ
114,49.880099,13.556013,CZ
115,49.53153,13.556013,CZ
116,49.180458,13.556013,CZ
117,48.826877,13.556013,CZ
118,48.649145,14.645162,CZ
119,49.003981,14.645162,CZ
120,49.356307,14.645162,CZ
121,49.706127,14.645162,CZ
122,50.053446,14.645162,CZ
123,50.398269,14.645162,CZ
124,50.740602,14.645162,CZ
125,51.080451,14.645162,CZ
126,48.826877,14.800754,CZ
127,49.180458,14.800754,CZ
128,49.53153,14.800754,CZ
129,49.880099,14.800754,CZ
130,50.226169,14.800754,CZ
131,50.569747,14.800754,CZ
132,50.910837,14.800754,CZ
133,50.226169,15.423125,CZ
134,50.569747,15.423125,CZ
135,50.910837,15.423125,CZ
136,49.880099,15.423125,CZ
137,49.53153,15.423125,CZ
138,49.180458,15.423125,CZ
139,48.826877,15.423125,CZ
140,48.826877,14.489569,CZ
141,49.180458,14.489569,CZ
142,49.53153,14.489569,CZ
143,49.880099,14.489569,CZ
144,50.226169,14.489569,CZ
145,50.569747,14.489569,CZ
146,50.910837,14.489569,CZ
147,48.649145,14.333976,CZ
148,49.003981,14.333976,CZ
149,49.356307,14.333976,CZ
150,49.706127,14.333976,CZ
151,50.053446,14.333976,CZ
152,50.398269,14.333976,CZ
153,50.740602,14.333976,CZ
154,51.080451,14.333976,CZ
155,49.356307,15.267533,CZ
156,49.356307,14.956347,CZ
157,49.53153,15.11194,CZ
158,49.706127,15.267533,CZ
159,49.706127,14.956347,CZ
160,49.880099,15.11194,CZ
161,50.053446,15.267533,CZ
162,50.053446,14.956347,CZ
163,50.226169,15.11194,CZ
164,50.398269,15.267533,CZ
165,50.398269,14.956347,CZ
166,50.569747,15.11194,CZ
167,50.740602,15.267533,CZ
168,50.740602,14.956347,CZ
169,50.910837,15.11194,CZ
170,51.080451,15.267533,CZ
171,51.080451,14.956347,CZ
172,49.180458,15.11194,CZ
173,49.003981,14.956347,CZ
174,49.003981,15.267533,CZ
175,48.826877,15.11194,CZ
176,48.649145,14.956347,CZ
177,50.740602,15.578718,CZ
178,50.398269,15.578718,CZ
179,50.053446,15.578718,CZ
180,49.706127,15.578718,CZ
181,49.356307,15.578718,CZ
182,49.003981,15.578718,CZ
183,48.826877,15.734311,CZ
184,49.180458,15.734311,CZ
185,49.53153,15.734311,CZ
186,49.880099,15.734311,CZ
187,50.226169,15.734311,CZ
188,50.569747,15.734311,CZ
189,49.180458,13.867198,CZ
190,49.356307,14.022791,CZ
191,49.356307,13.711606,CZ
192,49.53153,13.867198,CZ
193,49.706127,14.022791,CZ
194,49.706127,13.711606,CZ
195,49.880099,13.867198,CZ
196,50.053446,14.022791,CZ
197,50.053446,13.711606,CZ
198,50.226169,14.178384,CZ
199,50.226169,13.867198,CZ
200,50.398269,14.022791,CZ
201,50.398269,13.711606,CZ
202,50.569747,13.867198,CZ
203,50.740602,14.022791,CZ
204,50.740602,13.711606,CZ
205,49.880099,14.178384,CZ
206,49.53153,14.178384,CZ
207,49.180458,14.178384,CZ
208,48.826877,14.178384,CZ
209,48.470784,14.178384,CZ
210,50.910837,14.178384,CZ
211,50.569747,14.178384,CZ
212,48.649145,14.022791,CZ
213,48.826877,13.867198,CZ
214,49.003981,13.711606,CZ
215,49.003981,14.022791,CZ
216,48.826877,17.601423,CZ
217,49.003981,17.757016,CZ
218,49.180458,17.601423,CZ
219,49.356307,17.757016,CZ
220,49.53153,17.601423,CZ
221,49.706127,17.757016,CZ
222,49.880099,17.601423,CZ
223,50.053446,17.757016,CZ
224,50.226169,17.601423,CZ
225,50.398269,17.757016,CZ
226,49.53153,18.534979,CZ
227,49.880099,18.534979,CZ
228,50.226169,17.912608,CZ
229,49.880099,17.912608,CZ
230,49.53153,17.912608,CZ
231,49.180458,17.912608,CZ
232,48.826877,17.912608,CZ
233,49.003981,15.889903,CZ
234,49.356307,15.889903,CZ
235,49.706127,15.889903,CZ
236,50.053446,15.889903,CZ
237,50.398269,15.889903,CZ
238,50.740602,15.889903,CZ
239,48.826877,16.045496,CZ
240,49.180458,16.045496,CZ
